,L1A_abduct,L1A_flex,L1A_rot,L1B_flex,L1B_rot,L1C_flex,L1C_rot,L1D_flex,L2A_abduct,L2A_flex,L2A_rot,L2B_flex,L2B_rot,L2C_flex,L2C_rot,L2D_flex,L3A_abduct,L3A_flex,L3A_rot,L3B_flex,L3B_rot,L3C_flex,L3C_rot,L3D_flex,R1A_abduct,R1A_flex,R1A_rot,R1B_flex,R1B_rot,R1C_flex,R1C_rot,R1D_flex,R2A_abduct,R2A_flex,R2A_rot,R2B_flex,R2B_rot,R2C_flex,R2C_rot,R2D_flex,R3A_abduct,R3A_flex,R3A_rot,R3B_flex,R3B_rot,R3C_flex,R3C_rot,R3D_flex
R-F-TaG_x,0.03898253300165342,-0.035502755894951894,0.09703711986035858,0.025819213281591685,-0.09749951840112138,-0.14968844289197322,0.07698404051095928,-0.1614603618383273,-0.07866888667342707,0.1424909987561369,0.05550614155790192,0.16138516817331722,-0.13129859038004957,-0.02557253614125882,0.21096557712603742,-0.15057353388306596,0.12775055957157178,0.0630090695993162,-0.008103768415937754,0.0855170639505098,0.04933846123230414,0.013017031903267348,0.04216327629613769,-0.04193610184735711,-0.13680347042472618,0.33119972125185343,-0.42710106463033315,0.18456091994355042,0.1630266250900387,0.45012155100285206,-0.5501710784002707,0.13772170822379481,0.03620982487468678,-0.25973610866257735,-0.10922954894806025,-0.09911776502248684,-0.08189775686644249,-0.09083636578289678,0.12461937557027322,-0.18456193081789943,0.05928385026817743,-0.19060516106518818,-0.11469796530631507,0.06205926812975736,0.08025382241932558,0.00023436192341888816,-0.10596489620350406,-0.12396049815482584
R-F-TaG_y,0.15106282207244492,-0.00517621340865436,0.0923127125224304,-0.0007286657120754645,-0.08350405351744236,-0.04570181099534874,0.07360895585279062,-0.06689996464294364,0.14242078629898683,-0.05893190029436749,0.0706621571904947,0.017318747259610877,-0.09661791456157426,0.0016283824227376845,0.01699097807410209,-0.039896036969284475,0.055481664181854816,0.03587652924437863,0.10680550038598682,0.12771016462669083,0.01759193761448307,0.006700788389206369,0.14067568323988242,0.0556649076615036,-0.22432152485217438,0.6970211495576452,0.1082422132687648,0.3982762095875889,0.18454182992625098,0.6687324999465372,-0.17735631692137802,0.45041096386116597,0.1684324412298288,0.009852657574471305,0.12440040883443589,-0.058049241680683754,-0.1371291045123739,0.03598537294444203,0.19307729890264505,-0.014649996907859831,-0.036306056434809816,0.045400009769005704,0.06971177535356612,0.042940882485437606,-0.06354791137177113,0.08808233851948451,0.1013627558915657,0.07356445497148051
R-F-TaG_z,0.2995464226162962,0.08383886784387681,-0.07690831394019378,-0.30580728651589906,0.3656794817360015,-0.2088390662350289,-0.11226867734946003,-0.20507676462001206,0.49118347553777086,-0.27523829191630117,0.30729297369813385,-0.24004993624764384,-0.25652755543206457,-0.2550910670561142,-0.037237901182674504,-0.18776559731797085,0.15638375174511943,0.1263258159785343,-0.032885094188407245,0.15206764203230258,-0.05634139407093558,-0.0789212530852422,-0.07239400107971881,0.05644239868535061,0.6414706984073624,-0.3970317886593765,-0.3051751048837211,-0.8165082746391115,-0.8206096044133908,-0.5354707479903544,0.1909143659523831,-0.3410679298832989,0.5381623941357673,-0.13733022343452295,-0.1741252226132052,-0.1959612977051218,0.19830342510258864,-0.0931837991411949,0.1816545264505071,-0.0010108032773876046,-0.19431251958673518,-0.20266867445107836,-0.08100253807091781,0.053500239013218806,0.17780060520610688,-0.12384167264342714,0.03867843124205759,-0.009343876636720152
R-M-TaG_x,-0.1233647506378362,0.13621185559592314,-0.037726635605680035,0.14987811956382965,-0.09758971499282691,0.05904568498004341,0.0599788842205498,-0.0008200244621284113,-0.14069504876527378,0.15262405023056833,-0.024270588847867258,0.14012453183790544,-0.0976058104162352,-0.01926832154835493,0.19159783875260164,-0.06922224941465492,0.08217679484054388,0.028660648744558086,0.007669322553149511,0.04488948634726094,-0.02522464221587417,-0.004350148863684721,0.11100437154886783,0.011235384418475445,-0.05828614621298891,0.036759865243107745,0.12489079515806376,0.058789311037630354,0.03265678436186387,0.054617396219744416,0.09283338374974501,-0.028093947307075567,-0.01675231589171825,-0.3946455287270822,0.12916222715757733,0.4072610197976582,0.24209680337727274,0.62369513253697,-0.17190254496632693,0.2210564980378007,0.10057128425602369,-0.10635447825201798,0.021938505973741973,0.006856578253364883,-0.033125977012348116,0.08891260764059401,0.010212787711282634,-0.043352944547711374
R-M-TaG_y,0.015106658308835107,0.10926911906759845,-0.030911255492361376,0.09998172626614273,-0.08907387607055024,0.06944886776764823,0.04690073649362399,-0.018250976786644193,0.12690460568034387,-0.0734335476801021,-0.005783287147539355,0.05082255434773039,-0.06787219770877381,0.05164178188154734,0.03132867249000243,-0.011390141386841546,0.002065682969034211,0.055286709174489544,0.20272149102831355,0.20375461509746634,0.13925095290022077,0.1499017154574005,0.11704796828229937,0.002178632169300589,0.021920811163619207,0.13675031865283155,0.13542907169486898,0.11231318047226102,0.07098188113997324,0.16994011219920116,0.011154313237508292,0.1184426797661932,0.050160439409195436,0.30179076823164513,0.4444086108579035,-0.06899076265668941,-0.7645477297787779,0.04728833414288105,0.6710617565885019,0.15279607081874713,-0.08476428815460393,0.09512199757306156,0.0032470532161560164,0.00661786027527477,-0.05784127587219865,0.038665247968095985,0.004968895170492535,0.0026487109746678957
R-M-TaG_z,-0.13235164246569273,0.09722999090234143,-0.026103768611962636,0.04235195963822605,0.05856523514921037,-0.11610571020127664,-0.0006311916145274551,-0.08590520989833064,-0.1380814279473911,0.24132485229996992,0.016227576689841684,0.10533777940602576,-0.12039236574845874,-0.1934196292721192,0.18632796141521596,-0.23476764152933263,0.2605733487178406,-0.11328241751368875,0.066689122165465,0.09530465619414048,-0.025458715261960283,-0.035683272977720656,0.0321276429040062,-0.04278092180122075,-0.027382054913214566,-0.0006263484008261584,-0.0608859740336509,-0.11190912481531402,-0.14309991964252133,-0.08356327307100998,0.026292076301292124,-0.140577870202745,-0.03842241347258245,-0.3651522974183606,-0.6362926245226294,-0.6369424059135214,-0.08362605744278988,-0.526420366921654,0.23833843051393816,-0.5285300672131048,0.05957470086092741,-0.26782994962564843,-0.18668470120207983,-0.08458397856652494,0.15156876670503203,-0.1248074943444153,-0.060655822177951305,-0.1718425315777822
R-H-TaG_x,-0.13931660465520046,0.11381040262984288,0.0032488495357587996,0.3042120585379147,-0.3308747444465353,0.21631463995036268,0.16726588705181883,0.1251469795474499,-0.1709246028226877,0.1232003280805341,-0.22908050110339911,0.26656403550176155,0.07564176935499597,0.3233411299046355,0.10668125184644281,0.19961100881387422,-0.11425712726128232,0.2661986855109566,0.003178330474350354,0.005720004402548424,0.12083913207964025,0.09112157174941307,0.13491532085823973,0.06068879676633482,-0.1604050756461496,0.15357824864874467,0.22669628726143035,0.2744632510746222,0.24380692373192595,0.2004119178484215,0.024951978588332265,0.032297121808777904,-0.1642193843928191,0.11872039799561729,0.2782565700231797,0.08358775910644109,-0.18556458136158321,0.15117535002262272,-0.10746762362700499,-0.07668543419558121,0.2984877663465627,0.5148039127894154,0.6822761745007281,0.0964310849573358,-0.7900669225374356,0.6521105353186597,0.6505928300049272,0.3747176796362884
R-H-TaG_y,0.1868505278110941,0.0005043424542122648,0.05999973738990031,0.020625212855182918,-0.12872058436329042,0.07572590297299897,0.0778324897361531,0.012929552357357052,0.256550970699428,-0.11315434948843127,-0.07005553136158803,0.07555000727828541,0.010178580776011751,0.15650691327530708,-0.10602453861521162,0.12958243733055896,-0.07869044516463075,0.2009966009214706,0.08921323934448201,0.17841504167252556,0.1230378010802798,0.11608253056287705,-0.01644415855365617,0.025615466090615997,0.1835435273775105,0.03892481503251937,0.11241089142377661,0.017706202610759374,0.05204269968207347,-0.012041299548431405,0.042534263158106315,-0.0720239267848115,0.20310539901613775,0.37629448767270807,0.10139763475825833,-0.05834053158987541,0.028137205532238196,-0.010466097674329376,-0.1113625410923445,-0.05792727541454323,0.1361317114216319,0.4800962204670161,0.6621239245126386,-0.22409672169834186,-0.5898664475404118,0.06306698260837848,0.5738712544218418,0.06143286946920835
R-H-TaG_z,-0.4414029397364617,0.047642214322906835,-0.0995933265494704,0.2531826803111487,-0.14211961630260397,0.10248153978842688,-0.06083701667026856,0.2189944272372291,-0.6231448977426399,0.4448021768592073,-0.17033697886815832,0.18512532099894582,0.09143188550357323,-0.06914828832656814,0.16866329469456606,-0.09011171917310792,0.05920936664640824,-0.3877564018035557,0.024885224756884483,-0.12830813067999297,-0.0785900825594203,-0.048038948799530995,0.07725207530102003,-0.0861206075852623,-0.44099954681610004,-0.002173740486449433,-0.05844960861108386,0.1720328423203159,0.12261183354581946,0.09346286306075224,-0.12676915695339602,0.020734702292033974,-0.5219141599314074,-0.2543701332008902,-0.16167942914580274,-0.013714793204980176,-0.06347388804861628,-0.009512496876468698,-0.11574883801141372,-0.1329747328720309,0.19399804512977256,-0.34590142924473666,-0.2826957125276266,-0.43902165836296053,0.3758040465335236,-0.3591764884771821,-0.28694190353621407,-0.49396637475660693
L-F-TaG_x,-0.40885216082732856,0.45088062334913065,-0.5518470375772013,0.1709903237355089,0.24184589098846904,0.09022292106416446,-0.4746523841894816,0.08760744036614189,-0.09620641045967586,0.08576220995902123,0.042967893233153566,0.13709116575916888,-0.14793009926883993,-0.14784677739331417,0.19545247294415213,-0.17767197742577925,0.1857952952431009,-0.06277502393463402,0.08859067952166688,0.1702837069457048,0.09152154527759797,0.05237635630188757,0.02090599985937614,-0.07907615440254372,0.012122275214504492,-0.16753481915867535,-0.03996441645950964,-0.1925859857927428,-0.21232184497471526,-0.15296068303444707,0.06871147095877267,-0.1556196394418532,-0.08146662954745189,-0.3377696025047413,-0.1083971241228084,-0.11628237869351728,-0.06190384383240719,-0.032117744000423935,0.0905601211370212,-0.14897226599945174,0.13319325496512302,-0.26192921849624584,-0.23242877883282217,-0.02951022140054155,0.15162765851948562,-0.06696968691812831,-0.1539120496770957,-0.1345292361385839
L-F-TaG_y,-0.47697485513706395,0.8148209349726984,-0.7734963949162678,0.1912915506063924,0.3958913195356368,0.5746892859201304,-0.5325631071977609,0.4550983124647533,0.15611409664258685,-0.16962813078148437,0.15286493050140648,-0.05048994529932697,-0.17963565725908134,-0.07101354990652879,0.030281906285283773,0.004293571620641992,0.03953247428973754,-0.026412666826978255,0.20942663008224022,0.2018036689122218,0.08463632798902886,0.16094087592105685,0.036063064678132035,0.0599994718982197,0.18209650130907362,-0.14860749354753824,0.027907355016067305,-0.2234413056496072,-0.24277340806286415,-0.19924826441025922,0.17613290874411727,-0.10894736288520096,0.14800862549443825,-0.041130718966882855,-0.015455228805857958,-0.057768550579565446,0.011700269832677178,0.019064991081978514,0.07586843465665666,0.018154277921964362,-0.06367145925279077,-0.04616923683846911,-0.04146609164781594,-0.0052901143647748365,0.06892198557244708,-0.061770080227216535,0.013593070218185274,-0.01713810642278353
L-F-TaG_z,0.6266147726693722,-0.40689482486976714,0.4550045494618047,-0.8384330989274468,0.6526442711100284,-0.5306880485397882,0.153524386151745,-0.38638188116114097,0.5008112441333704,-0.3091736866734594,0.19970112592517714,-0.5132378018504031,0.05623475256103084,-0.20703082276221862,-0.2845121797142904,-0.016306322044934783,0.06276224223443469,0.09661098799054192,-0.13622345829109014,-0.04687018037947342,-0.18136060103731963,-0.1106616500624159,-0.12063832349014182,0.14986430117208105,0.46138092211556087,-0.10845133243753939,0.020770175248470288,-0.3682684570304643,-0.3269023901975134,-0.27880237708393296,0.21375967727968534,-0.09707150430824771,0.5238489501271434,0.040156177306352465,-0.13186861853249748,-0.1490578725128932,0.25016768933884814,-0.11087408228884543,0.12294361622859791,0.13507083179047083,-0.25436587156651436,-0.09413929041283328,0.023591298554148165,-0.012004896648384963,0.2012267632763863,-0.19029601972930063,0.08645686394899532,0.06947431912384519
L-M-TaG_x,-0.14382293811421756,0.18912813991957045,-0.1507367865870578,0.24079921346546285,-0.14331873787120242,0.019441353214291426,-0.0230657461289619,-0.1080157157315304,-0.08385803633980873,0.08813671419372093,0.3977958007874796,0.43371992165395173,-0.6477997778195694,-0.3242496891220761,0.5883452558586264,-0.44045276388087135,0.2099290546231613,-0.05172272106529604,-0.01951173995642609,0.09691781132781989,0.04745650090875099,-0.03133529180604054,0.02255722741484908,-0.10267585860646822,-0.0050720285318102505,-0.04876855028875221,-0.06425771246610719,-0.025020408057796803,-0.006451860021315355,-0.0029794386283155394,-0.07402723229272687,-0.16455438460644825,-0.03383692352288322,-0.22916610892574665,-0.04362959757911273,-0.04697127503796371,-0.11338330031497472,-0.003417782251712324,0.07224391674684127,-0.22004133806825638,0.11529712743257042,-0.25214121959778274,-0.1583395386067164,-0.029041095944033955,0.08703718069523445,-0.08934187681274267,-0.2007808549583289,-0.2617232833488899
L-M-TaG_y,0.21049106784717014,-0.17914353909812453,0.20912899969575524,-0.19101691744865748,0.05203353848134369,-0.16532886592708837,0.08349605416784817,-0.07898789418372075,0.1293173725383746,0.07189607128779961,-0.6380046103322973,-0.5538649816057786,0.8264524416071394,-0.06297616352888648,-0.7353291072470953,0.061792936623922864,-0.01189883376387858,0.0030074534772808483,0.12488753675450787,0.1473671745188612,0.0002934106909145594,0.029773448743173194,0.05933906252737833,-0.025415594444955274,0.12031085698642138,-0.0016043076907001463,0.11140021722460174,-0.057828983986418045,-0.029082708563370186,-0.05798116012499057,0.11665107068060564,-0.04320181581980002,0.1371827195175918,0.021303170031721805,-0.03832277540489804,-0.07835661773181403,0.07407112027619638,-0.037633387488004266,0.0352883692457486,0.045194600867743,-0.015170272979962741,0.040490267000004715,0.022233657107407035,-0.007832224447274298,-0.018632659070983465,0.04026391367824091,0.10128841118033109,0.121161538588923
L-M-TaG_z,0.20935408194954738,-0.2619328752722541,0.12215031964395834,-0.44170989865718685,0.3845266602953123,-0.19500383676044414,-0.07342196132115113,-0.05032606973213774,0.10499657368030842,-0.11993661348752307,0.45177615978838676,-0.6804806909338522,-0.03765278450596123,-0.3765876284016036,-0.079175489261762,-0.15695994917949319,-0.13631735614449153,-0.0409722487086006,-0.21218669098758944,-0.37217916874731105,-0.2161675114227251,-0.1673736652305651,-0.18601354816998145,0.17271657057716724,0.0694452861104889,-0.0749371321520025,-0.06473285427458561,-0.1878757546392351,-0.23550969769273278,-0.13092630449410864,0.11860918872520505,0.158848338442131,0.08689010297632593,0.10236932537494058,-0.11085179841795721,0.0029450056782264326,0.23789299994149354,-0.07979914702254826,0.017331185922309526,0.20863866279672155,-0.2661231787623729,-0.09934833266777332,-0.09232569840755363,-0.05356822445678939,0.26252656248509126,-0.2201611490178538,1.4147202728264721e-05,0.08906759998614117
L-H-TaG_x,-0.2098281153326223,0.35030152377264345,-0.18315555974537273,0.3131118014738842,-0.17842672701577333,0.216521462143286,0.02932339698269362,0.07178566872640992,-0.009192633196347343,-0.0005937740351706753,-0.21428190965725563,0.1402540354306036,0.06971299795221095,0.019300983558930264,-0.01873834005145398,-0.08220319850190463,0.14810334966215724,-0.41344442813701476,0.7915796375145973,0.6733143361496116,0.19394700146451357,0.3019510185534992,0.6754492947136604,-0.0882042711171124,-0.03843345970183627,0.10867597149664676,0.15268367256879184,0.11870397111653708,0.0797112575980914,0.08300343853753912,0.029174569000597644,-0.07096840921095166,0.0025076170943281115,-0.04329132467393398,0.12534416612620078,0.018615643987457686,-0.20006038075391672,0.06308226149281936,0.10453850845156272,-0.10741164681002313,0.056655936278467184,-0.10976691093024539,-0.009762529468959096,-0.06775659794622509,0.010836518901619312,-0.07303330894327406,-0.17038371278540163,-0.2264460370493324
L-H-TaG_y,0.3691316116580022,-0.1943032669562274,0.10896101496908021,-0.19367270555535002,0.05636737756241813,-0.26617198371183215,0.014255784291929967,-0.27628608222998174,0.35564961537735096,-0.19513347855601995,0.24591042928545023,0.04338058571248605,-0.2620440848660114,-0.08970833171785018,0.023230181790446468,-0.1268411514455183,0.07802273880885924,0.3496379845646499,-0.5028673580447235,-0.2267448384755687,-0.08878628351226697,-0.524166529004933,-0.28839229898026475,-0.16557885039696205,0.3109798905505074,-0.10738834778738743,-0.17195519414951466,-0.23799911097362547,-0.15487941059223978,-0.13106248691735967,-0.04182089565353855,-0.13613397923276363,0.31755199460633404,0.016822761444604963,-0.11447606763440282,-0.10623724781645531,0.1324483318186394,-0.08401211194978199,0.05545302344541658,-0.06021236837744348,-0.04601706849982579,-0.030083055096837598,-0.07745169479361845,0.09140469254172685,0.024228739131782903,0.011356031113281094,0.05121345807085134,0.08151848279016512
L-H-TaG_z,-0.30132750300363187,-0.14599796928781636,-0.057767894510708816,-0.02095970849059925,0.11104462017457617,0.03767683795850147,-0.14342295751581066,0.18184120983421753,-0.5392979102540442,0.26219691499489906,0.015056782409443914,-0.12656388835914287,0.12907556007431828,-0.08057648852421855,0.019041490326145997,0.05279564536052119,-0.11183755082273664,-0.4063753629442532,-0.2738220172339008,-0.6657808367662613,-0.50222352323073,-0.3710152367642643,-0.04360801854186142,-0.12341720635450389,-0.43550544096001576,-0.07241373152783312,-0.08427706656407223,0.11292965333639413,0.05380559003086876,0.042405346849204335,-0.04075319835507752,0.21286784205810041,-0.5568815107775938,0.013754455786891313,-0.13710286231889868,0.0735228903708061,0.07207474669826242,-0.07788700687020848,-0.16533637461863868,0.0586902788491753,0.038968772354961226,-0.11669783905822421,-0.1786938565845979,-0.17055808478765555,0.2407486610548441,-0.14836355426929052,-0.16792166097237368,0.021724024782081776
